--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra: rastro || Repeticiones: 1 || Binary code: 0101101111
Palabra: menor || Repeticiones: 1 || Binary code: 0101110000
Palabra: dejar || Repeticiones: 1 || Binary code: 0101110001
Palabra: procuraba || Repeticiones: 1 || Binary code: 0101110010
Palabra: siempre || Repeticiones: 1 || Binary code: 0101110011
Palabra: rodeaba || Repeticiones: 1 || Binary code: 0101110100
Palabra: entorno || Repeticiones: 1 || Binary code: 0101110101
Palabra: respeto || Repeticiones: 1 || Binary code: 0101110110
Palabra: profundo || Repeticiones: 1 || Binary code: 0101110111
Palabra: sentia || Repeticiones: 1 || Binary code: 0101111000
Palabra: naturaleza || Repeticiones: 1 || Binary code: 0101111001
Palabra: diversidad || Repeticiones: 1 || Binary code: 0101111010
Palabra: belleza || Repeticiones: 1 || Binary code: 0101111011
Palabra: recordatorio || Repeticiones: 1 || Binary code: 0101111100
Palabra: encuentro || Repeticiones: 1 || Binary code: 0101111101
Palabra: alegres || Repeticiones: 1 || Binary code: 0101111110
Palabra: melodias || Repeticiones: 1 || Binary code: 0101111111
Palabra: cantaban || Repeticiones: 1 || Binary code: 0110000000
Palabra: brillantes || Repeticiones: 1 || Binary code: 0110000001
Palabra: colores || Repeticiones: 1 || Binary code: 0110000010
Palabra: aves || Repeticiones: 1 || Binary code: 0110000011
Palabra: ramas || Repeticiones: 1 || Binary code: 0110000100
Palabra: correteando || Repeticiones: 1 || Binary code: 0110000101
Palabra: ardillas || Repeticiones: 1 || Binary code: 0110000110
Palabra: tranquilamente || Repeticiones: 1 || Binary code: 0110000111
Palabra: pastando || Repeticiones: 1 || Binary code: 0110001000
Palabra: ciervos || Repeticiones: 1 || Binary code: 0110001001
Palabra: bosque || Repeticiones: 1 || Binary code: 0110001010
Palabra: habitantes || Repeticiones: 1 || Binary code: 0110001011
Palabra: varios || Repeticiones: 1 || Binary code: 0110001100
Palabra: trayecto || Repeticiones: 1 || Binary code: 0110001101
Palabra: durante || Repeticiones: 1 || Binary code: 0110001110
Palabra: susurraban || Repeticiones: 1 || Binary code: 0110001111
Palabra: altos || Repeticiones: 1 || Binary code: 0110010000
Palabra: arboles || Repeticiones: 1 || Binary code: 0110010001
Palabra: oscuros || Repeticiones: 1 || Binary code: 0110010010
Palabra: densos || Repeticiones: 1 || Binary code: 0110010011
Palabra: bosques || Repeticiones: 1 || Binary code: 0110010100
Palabra: dieron || Repeticiones: 1 || Binary code: 0110010101
Palabra: onduladas || Repeticiones: 1 || Binary code: 0110010110
Palabra: colinas || Repeticiones: 1 || Binary code: 0110010111
Palabra: verdes || Repeticiones: 1 || Binary code: 0110011000
Palabra: cambiaba || Repeticiones: 1 || Binary code: 0110011001
Palabra: paisaje || Repeticiones: 1 || Binary code: 0110011010
Palabra: avanzaban || Repeticiones: 1 || Binary code: 0110011011
Palabra: enigmas || Repeticiones: 1 || Binary code: 0110011100
Palabra: desentranando || Repeticiones: 1 || Binary code: 0110011101
Palabra: secretos || Repeticiones: 1 || Binary code: 0110011110
